Dusun,English,Type,Malay,Category,Variants
"3:00 AM","3:00 AM",noun,"3:00 AM","time, events & quantities",
"4:00 PM","4:00 PM",noun,"4:00 PM","time, events & quantities",
"""Amu oku insan nokoongoi doh hilo,"" simbar dih John","“I have never been there,” John replied",sentence,"“Saya tidak pernah ke sana,” jawab John",dialog,
"""Amu oku sotuju,"" ka dih Mary","“I don’t agree,” Mary said",sentence,"“Saya tidak bersetuju,” kata Mary",dialog,
"""Apanat oku,"" ka dih John","“I am tired,” John said",sentence,"“Saya letih,” kata John",dialog," "
"""Apatut mamanau noh yati nondo,"" ka dih John","“We should leave now,” John said",sentence,"“Kita patut pergi sekarang,” kata John",dialog,
"""Karaati ko ii?"" nuhot dih sigu","“Do you understand?” the teacher asked",sentence,"“Adakah kamu faham?” tanya guru itu",dialog,
"""lohowon ku iya tiinu,"" simbar dau","“I will call you later,” he answered",sentence,"“Saya akan menelefon kamu kemudian,” jawabnya",dialog,
"""Nokuro tu' alambat ko?"" nuhot dau yau","“Why are you late?” she asked him",sentence,"“Kenapa kamu lambat?” dia bertanya kepadanya",dialog,
"""Nombo ngoyon nu,"" nuhot dih Mary","“Where are you going?” Mary asked",sentence,"“Ke mana kamu pergi?” tanya Mary",dialog,
"""Rumulan ii,"" ka dih mama dau","“Please be careful,” his mother said",sentence,"“Tolong berhati-hati,” kata ibunya",dialog,
"""Tahakon dih Mary ti bunga,"" ka dih John","""Give these flowers to Mary,"" said John.",sentence,"""berikan bunga ini kepada Mary,"" kata John",declarative,
"""Uhupan tia,"" janji dih Mary","“I will help you,” Mary promised",sentence,"“Saya akan membantu kamu,” janji Mary",dialog,
"3 toun","3 years",phrase,"3 tahun",,
aadang,balanced,adjective,seimbang,descriptive,
aadil,"just, fair",adjective,adil,personal,
"aadil pertimbangan","fair judgement",phrase,"pengadilan yang adil",,
"aadil pinabagi doh sumber","resources are allocated fairly",sentence,"sumber diagihkan secara adil",declarative,
aaga,estimate,verb,dianggar,"stative (object)",ajangka
aaga,anticipate,verb,dijangka,"stative (object)",ajangka
"aaga nu piro tulun hiti suang?","can you estimate how many people are inside?",sentence,"dapat kamu anggarkan jumlah manusia di dalam?",interrogative,
aagab,"in a hurry",adjective,tergesa-gesa,,
"aagab-agab tomod oku ti","I am really in a rush",sentence,"saya tergesa-gesa betul ini",declarative,
aagat,heavy,adjective,berat,descriptive,awagat
"aagat ko tomod. amu oku kobuntut diya","you are too heavy. I cannot lift you",sentence,"kamu terlampau berat. saya tidak dapat mengangkat kamu",declarative,
